date_prediction,action_rl,action_executed,trade_return_executed,cumulative_return,y_true,y_pred_lgbm
2023-11-22,0,0,0.0013584501773368461,0.903498884104027,1,1
2023-11-28,2,2,0.008724633284432565,0.9113815805407287,1,1
2023-12-01,0,0,0.0098571680891904,0.9203652219735107,1,1
2023-12-06,2,2,0.016068286865110065,0.9351539143808517,2,1
2023-12-11,0,0,-0.021008355870970385,0.9155078681534078,1,1
2023-12-14,2,2,0.010344273187139845,0.9249781316465627,1,1
2023-12-19,0,0,0.0028815368852081313,0.9276434902509133,1,1
2023-12-22,2,2,0.0056682004649662,0.9329015595136764,1,0
2023-12-28,0,0,0.008471054533746972,0.9408042194989343,1,0
2024-01-03,2,2,0.012482965249888147,0.9525482458778877,1,0
2024-01-08,0,0,-0.0035058370824120797,0.9492087669147025,1,0
2024-01-11,2,2,-0.0029831667880839212,0.9463771188462844,1,0
2024-01-17,0,0,-0.023468091888832178,0.9241674536597115,2,0
2024-01-22,2,2,0.009015691162218719,0.9324994620040816,1,0
2024-01-25,0,0,-0.006295269793001066,0.9266291263089376,1,0
2024-01-30,2,2,0.006830426778239359,0.9329583987067747,1,0
2024-02-02,0,0,-0.007350889930344286,0.9261003242082909,1,0
2024-02-07,2,2,0.005361253887263422,0.9310653831714485,1,0
2024-02-12,0,0,-0.0015711645461114771,0.9296025262512978,1,0
2024-02-15,2,2,-0.010779945455182646,0.9195814617233088,1,0
2024-02-21,0,0,-0.017610097536677943,0.9033875424894404,2,0
2024-02-26,2,2,0.005274697162899859,0.9081526381968086,1,0
2024-02-29,0,0,0.0034574536121460614,0.9112925338161222,1,0
2024-03-05,2,2,0.008868506380350107,0.919374337466636,1,0
2024-03-08,0,0,-0.00812307490567568,0.9119061908570386,1,0
2024-03-13,2,2,-0.0030763180793596102,0.9091008773554251,1,0
2024-03-18,0,0,-0.017887425123354686,0.8928394034821538,1,0
2024-03-21,2,2,-0.007240196772080104,0.8863750705150765,1,0
2024-03-26,0,0,-0.009756748002145458,0.877726932316677,1,0
2024-04-01,2,2,-0.018414243613678098,0.8615642547587113,1,0
2024-04-04,0,0,-0.012181394539631319,0.851069200650252,1,0
2024-04-09,2,2,-0.01660297344978808,0.8369389213079235,0,0
2024-04-12,0,0,0.019752507065835208,0.8534705632647308,1,0
2024-04-17,2,2,-0.0023117040847656593,0.8514975918774045,1,0
2024-04-22,0,0,-0.007547963014737604,0.8450705195467757,1,0
2024-04-25,2,2,-0.002521577179741031,0.8429396090094147,2,2
2024-04-30,0,0,-0.018289469512201624,0.8275226907298098,2,2
2024-05-03,2,2,0.011677522354922254,0.8371861054500125,2,2
2024-05-08,0,0,-0.006505810991883926,0.8317395308829233,2,1
2024-05-13,2,2,0.014494175322729726,0.8437949094663854,1,1
2024-05-16,0,0,-0.004589314558074182,0.8399224692043423,1,1
2024-05-21,2,2,-0.0031363756816692005,0.8372881567974423,1,1
2024-05-24,0,0,0.007120077591568609,0.8432497134403415,1,1
2024-05-30,2,2,0.010669482738858392,0.8522467517024406,2,1
