accuracy,balanced_accuracy,f1_macro,loss,val_accuracy,val_balanced_accuracy,val_f1_macro,val_loss,learning_rate
0.7303030490875244,0.7291818261146545,0.7243270874023438,0.5902154445648193,0.30128204822540283,0.305643230676651,0.3082629144191742,0.8932325839996338,0.00800000037997961
0.7575757503509521,0.7535043358802795,0.7503166198730469,0.5546474456787109,0.28205129504203796,0.2870751917362213,0.28341948986053467,0.8661450147628784,0.00800000037997961
0.7409090995788574,0.7430567741394043,0.7365768551826477,0.5391114950180054,0.28205129504203796,0.29331403970718384,0.26578477025032043,0.8690382838249207,0.00800000037997961
0.7484848499298096,0.7436065673828125,0.7420293688774109,0.5331844687461853,0.32692307233810425,0.34328821301460266,0.32379961013793945,0.8611628413200378,0.00800000037997961
0.7696969509124756,0.7760012745857239,0.7674519419670105,0.5078986287117004,0.3782051205635071,0.3789072036743164,0.35432350635528564,0.8739792108535767,0.00800000037997961
0.7530303001403809,0.7505722045898438,0.7471837997436523,0.502621054649353,0.38461539149284363,0.3790459930896759,0.36151185631752014,0.83879154920578,0.00800000037997961
0.7530303001403809,0.7605605721473694,0.7482323050498962,0.49187135696411133,0.3589743673801422,0.35277557373046875,0.3532746136188507,0.8174501061439514,0.00800000037997961
0.7575757503509521,0.7541136145591736,0.7530038952827454,0.4868772625923157,0.3461538553237915,0.3409651219844818,0.31769612431526184,0.8374689817428589,0.00800000037997961
0.7803030014038086,0.7836646437644958,0.7753311991691589,0.42920541763305664,0.3782051205635071,0.37471628189086914,0.335949182510376,0.8401442170143127,0.00800000037997961
0.7727272510528564,0.7710397839546204,0.7681834697723389,0.43865421414375305,0.36538460850715637,0.34450092911720276,0.33480188250541687,0.7796444296836853,0.00800000037997961
0.8045454621315002,0.804132878780365,0.8018928170204163,0.3943890631198883,0.3717948794364929,0.3446080684661865,0.3278386890888214,0.764856219291687,0.00800000037997961
0.7909091114997864,0.796602725982666,0.7892205119132996,0.40728676319122314,0.35256409645080566,0.3421753942966461,0.3191869556903839,0.7947314977645874,0.00800000037997961
0.8015151619911194,0.8092362284660339,0.8006666302680969,0.3873971104621887,0.36538460850715637,0.35408082604408264,0.3505673408508301,0.7656850218772888,0.00800000037997961
0.8136363625526428,0.818109929561615,0.8105413317680359,0.37186965346336365,0.33974358439445496,0.32157155871391296,0.31230899691581726,0.7703701853752136,0.00800000037997961
0.7651515007019043,0.7671368718147278,0.7615764737129211,0.4262695908546448,0.35256409645080566,0.3484458923339844,0.3417353630065918,0.8078128099441528,0.00800000037997961
0.8060606122016907,0.8124021887779236,0.8033106327056885,0.37357160449028015,0.3461538553237915,0.3302820920944214,0.31602224707603455,0.7926111221313477,0.00800000037997961
0.8439394235610962,0.8419029116630554,0.8396987318992615,0.33988454937934875,0.3333333432674408,0.3297828733921051,0.3292897641658783,0.7934595942497253,0.00800000037997961
0.8121212124824524,0.812208890914917,0.8068398833274841,0.3743644058704376,0.3589743673801422,0.35592666268348694,0.3570495545864105,0.8274798393249512,0.00800000037997961
0.821212112903595,0.8233962059020996,0.8173651099205017,0.3393590748310089,0.3589743673801422,0.34656837582588196,0.3245859146118164,0.8135973811149597,0.00800000037997961
0.831818163394928,0.8313870429992676,0.8304112553596497,0.32667574286460876,0.38461539149284363,0.3609260320663452,0.34229567646980286,0.8057715892791748,0.00800000037997961
0.810606062412262,0.806612491607666,0.8040171265602112,0.35223647952079773,0.3782051205635071,0.3671210706233978,0.36103561520576477,0.787614643573761,0.00800000037997961
0.8393939137458801,0.8484895825386047,0.8370015621185303,0.33535051345825195,0.36538460850715637,0.3519062101840973,0.3483232259750366,0.7898090481758118,0.004000000189989805
0.8696969747543335,0.8743462562561035,0.870119035243988,0.2956370413303375,0.3910256326198578,0.37483564019203186,0.36965563893318176,0.8091489672660828,0.004000000189989805
0.8999999761581421,0.9040942788124084,0.8975285887718201,0.26135575771331787,0.4038461446762085,0.38787588477134705,0.3838243782520294,0.7963370084762573,0.004000000189989805
0.903030276298523,0.9076669216156006,0.9022559523582458,0.2505413293838501,0.41025641560554504,0.3944118022918701,0.39018750190734863,0.7822971940040588,0.004000000189989805
0.9257575869560242,0.9321057200431824,0.9256126284599304,0.22777007520198822,0.39743590354919434,0.3813399076461792,0.37791529297828674,0.7780774831771851,0.004000000189989805
0.928787887096405,0.9371556639671326,0.9296037554740906,0.21698583662509918,0.4038461446762085,0.3846931457519531,0.3788307011127472,0.7840206623077393,0.004000000189989805
0.9378787875175476,0.9412381649017334,0.937905490398407,0.20370754599571228,0.4038461446762085,0.38894733786582947,0.3856256306171417,0.7851219177246094,0.004000000189989805
0.9545454382896423,0.9550847411155701,0.9518945813179016,0.19409015774726868,0.4038461446762085,0.3921301066875458,0.39000582695007324,0.7810056805610657,0.004000000189989805
0.9409090876579285,0.945209264755249,0.9408280849456787,0.1898602992296219,0.38461539149284363,0.3714507818222046,0.36966612935066223,0.7833413481712341,0.004000000189989805
0.9469696879386902,0.9489784240722656,0.9459460377693176,0.17786869406700134,0.39743590354919434,0.3834511935710907,0.3812693655490875,0.804144561290741,0.004000000189989805
0.9666666388511658,0.968062698841095,0.9668111205101013,0.1703558713197708,0.4166666567325592,0.406241774559021,0.40455034375190735,0.8253132700920105,0.0020000000949949026
0.9696969985961914,0.9702519774436951,0.9695808291435242,0.16065533459186554,0.3910256326198578,0.38652682304382324,0.38275840878486633,0.8505582809448242,0.0020000000949949026
0.960606038570404,0.9647860527038574,0.9600494503974915,0.16304507851600647,0.39743590354919434,0.3919912874698639,0.38890644907951355,0.8566442728042603,0.0020000000949949026
0.960606038570404,0.9638950824737549,0.9601162075996399,0.15790963172912598,0.39743590354919434,0.38984835147857666,0.3883116543292999,0.8580304384231567,0.0020000000949949026
0.9742424488067627,0.9740751385688782,0.9732221961021423,0.14999209344387054,0.4038461446762085,0.39638426899909973,0.3938014507293701,0.8639184236526489,0.0020000000949949026
0.9833333492279053,0.9819093346595764,0.9825807213783264,0.14904019236564636,0.4038461446762085,0.39638426899909973,0.3938014507293701,0.8689225316047668,0.0020000000949949026
0.9803030490875244,0.9819005131721497,0.9798843264579773,0.1413922905921936,0.39743590354919434,0.3909198045730591,0.38777855038642883,0.8772727847099304,0.0020000000949949026
0.9696969985961914,0.968071460723877,0.9690232276916504,0.14225605130195618,0.4038461446762085,0.39745578169822693,0.39367809891700745,0.8908069133758545,0.0020000000949949026
0.9757575988769531,0.9780774116516113,0.975348711013794,0.13863468170166016,0.4038461446762085,0.3953128159046173,0.39353108406066895,0.8914605975151062,0.0020000000949949026
0.9712121486663818,0.9755436778068542,0.9720795750617981,0.137237548828125,0.41025641560554504,0.39762619137763977,0.3935682475566864,0.916394829750061,0.0020000000949949026
0.9727272987365723,0.9760988354682922,0.9733898043632507,0.13725529611110687,0.4166666567325592,0.40523362159729004,0.3991898000240326,0.9469433426856995,0.0010000000474974513
0.9772727489471436,0.9783279895782471,0.977545440196991,0.13600347936153412,0.41025641560554504,0.3997691571712494,0.39323508739471436,0.970550537109375,0.0010000000474974513
0.9818181991577148,0.983534574508667,0.9821288585662842,0.12941725552082062,0.4166666567325592,0.40523362159729004,0.3988775312900543,0.9851977825164795,0.0010000000474974513
0.9772727489471436,0.9764521718025208,0.9772830009460449,0.12668898701667786,0.41025641560554504,0.39869770407676697,0.39338770508766174,0.9911845326423645,0.0010000000474974513
0.978787899017334,0.9825409054756165,0.9795937538146973,0.12698955833911896,0.41025641560554504,0.39762619137763977,0.3939816951751709,0.9972131252288818,0.0010000000474974513
0.9818181991577148,0.9840269684791565,0.9819349646568298,0.12307871133089066,0.4038461446762085,0.3910902738571167,0.38775119185447693,1.0092480182647705,0.0010000000474974513
0.9803030490875244,0.9809157252311707,0.9807137846946716,0.12226241081953049,0.39743590354919434,0.3856257498264313,0.3825949728488922,1.0202878713607788,0.0010000000474974513
0.9863636493682861,0.9865607619285583,0.9860327243804932,0.12141797691583633,0.4038461446762085,0.394273042678833,0.39146724343299866,1.035819411277771,0.0010000000474974513
0.9803030490875244,0.9801186919212341,0.9786197543144226,0.12229728698730469,0.3782051205635071,0.37134361267089844,0.36901116371154785,1.0521332025527954,0.0010000000474974513
0.9803030490875244,0.9826976656913757,0.9811544418334961,0.12382907420396805,0.38461539149284363,0.3768080770969391,0.3741791546344757,1.0692064762115479,0.0010000000474974513
0.9863636493682861,0.9860682487487793,0.9858844876289368,0.117058664560318,0.3782051205635071,0.37134361267089844,0.3683496415615082,1.0851130485534668,0.0005000000237487257
